"","Stud","Field","Course1","Course2","Course3","Course4","Course5"
"60","stud60","Bio",13.82,10.48,17.81,1.17,10.06
"61","stud61","Bio",14.97,10.33,17.13,3.36,10.77
"62","stud62","Bio",14.61,11.55,13.7,4.35,8.75
"63","stud63","Bio",12.8,11.71,17.48,6.3,9.3
"64","stud64","Bio",13.4,10.21,11.59,3.95,10.19
"65","stud65","Bio",12.72,9,17.56,8.16,8.72
"66","stud66","Bio",11.8,8.76,17.16,2.44,7.39
"67","stud67","Bio",13.93,10.64,10.69,3.52,12.2
"68","stud68","Bio",13.44,8.62,17.91,2.97,9.23
"69","stud69","Bio",14.41,10.15,14.31,3.54,12.07
"70","stud70","Bio",15.27,9.92,19.18,4.3,10.01
"71","stud71","Bio",15.3,9.95,17.05,5.93,8.28
"72","stud72","Bio",14.99,10.66,10.7,3.47,9.7
"73","stud73","Bio",15.06,8.18,18.95,2.6,9.97
"74","stud74","Bio",12,10.24,15.67,2.8,9.76
"75","stud75","Bio",14.26,11.39,17.29,4.37,11.14
"76","stud76","Bio",13.02,11.27,17.74,4.7,10.55
"77","stud77","Bio",15.24,7.78,13.41,1.44,7.18
"78","stud78","Bio",13.6,NA,NA,3.86,NA
"79","stud79","Bio",13.89,8.51,14.92,2.92,10.95
"80","stud80","Bio",13.99,8.61,14.83,2.5,10.79
"81","stud81","Bio",15.03,10.41,15.14,3.71,9.19
"82","stud82","Bio",13.5,10.15,16.15,2.96,9.48
"83","stud83","Bio",14.17,9.88,17.81,4.17,6.99
"84","stud84","Bio",14.3,9.51,16.13,1.99,9.89
"85","stud85","Bio",13.85,10.27,15.73,7.6,9.87
"86","stud86","Bio",14.51,10.63,17.19,3.78,11.76
"87","stud87","Bio",NA,11.16,15.57,6.81,9.67
"88","stud88","Bio",13.28,9.51,16.11,6.31,9.83
"89","stud89","Bio",13.31,10.95,18.41,0.71,10.4
"90","stud90","Bio",15.31,10.69,12.06,1.45,9.08
"91","stud91","Bio",13.28,9.17,17.79,3.17,11.02
"92","stud92","Bio",15.21,10.27,5.74,4.41,10.68
"93","stud93","Bio",11.89,10.39,6.39,5.6,10.34
"94","stud94","Bio",13.92,10,16.57,7.08,13.27
"95","stud95","Bio",16.19,11.31,15.59,5.93,7.81
"96","stud96","Bio",14.55,9.51,18.72,6.59,10.56
"97","stud97","Bio",13.57,9.65,12.44,7.1,9.47
"98","stud98","Bio",13.78,10.47,17.69,1.8,8.93
"99","stud99","Bio",13.94,NA,5.44,2.61,10.59
"100","stud100","Bio",14.32,9.34,11.93,9.1,9.83
"101","stud101","Bio",12.61,8.77,18.4,6.88,7.92
"102","stud102","Bio",14.26,9.43,NA,3.98,9.25
"103","stud103","Bio",14.43,9.8,15.69,4.5,8.57
"104","stud104","Bio",15.81,10.19,14.85,5.44,9.37
"105","stud105","Bio",12.39,11.3,13.16,1.36,10.08
"106","stud106","Bio",13.13,10.95,13.59,3.48,12.77
"107","stud107","Bio",15.48,8.97,15.1,2.45,9.32
"108","stud108","Bio",13.94,8.96,13.66,1.6,12.24
"109","stud109","Bio",13.62,9.36,16.98,4.11,5.89
"110","stud110","Bio",13.85,9.66,8.48,3.93,10.47
"111","stud111","Bio",13.44,8.98,9.88,4.92,11.7
"112","stud112","Bio",13.66,9.87,16.87,7.24,10.42
"113","stud113","Bio",14.51,8.03,14.52,4.42,9.82
"114","stud114","Bio",13.24,9.47,9.67,1.94,9.01
"115","stud115","Bio",12.84,10.36,19.15,3.5,12.57
